date,confirm,suspect,dead,heal,update_time
2020-01-20,291,27,6,25,2020-04-01 14:54:25
2020-01-21,149,26,3,0,2020-04-01 14:54:25
2020-01-22,131,257,8,3,2020-04-01 14:54:25
2020-01-23,259,680,8,6,2020-04-01 14:54:25
2020-01-24,457,1118,16,4,2020-04-01 14:54:25
2020-01-25,688,1309,15,11,2020-04-01 14:54:25
2020-01-26,769,3806,24,2,2020-04-01 14:54:25
2020-01-27,1771,2077,26,9,2020-04-01 14:54:25
2020-01-28,1459,3248,26,43,2020-04-01 14:54:25
2020-01-29,1737,4148,38,21,2020-04-01 14:54:25
2020-01-30,1981,4812,43,47,2020-04-01 14:54:25
2020-01-31,2099,5019,46,72,2020-04-01 14:54:25
2020-02-01,2589,4562,45,85,2020-04-01 14:54:25
2020-02-02,2825,5173,57,147,2020-04-01 14:54:25
2020-02-03,3233,5072,64,157,2020-04-01 14:54:25
2020-02-04,3886,3971,65,260,2020-04-01 14:54:25
2020-02-05,3694,5328,73,261,2020-04-01 14:54:25
2020-02-06,3143,4833,73,387,2020-04-01 14:54:25
2020-02-07,3385,4214,86,510,2020-04-01 14:54:25
2020-02-08,2652,3916,89,599,2020-04-01 14:54:25
2020-02-09,2973,4008,97,632,2020-04-01 14:54:25
2020-02-10,2467,3536,108,715,2020-04-01 14:54:25
2020-02-11,2015,3342,97,744,2020-04-01 14:54:25
2020-02-12,14108,2807,146,902,2020-04-01 14:54:25
2020-02-13,5090,2450,121,1081,2020-04-01 14:54:25
2020-02-14,2641,2277,143,1373,2020-04-01 14:54:25
2020-02-15,2008,1918,142,1323,2020-04-01 14:54:25
2020-02-16,2048,1563,105,1425,2020-04-01 14:54:25
2020-02-17,1888,1432,98,1708,2020-04-01 14:54:25
2020-02-18,1749,1185,136,1824,2020-04-01 14:54:25
2020-02-19,817,1277,114,1781,2020-04-01 14:54:25
2020-02-20,889,1614,118,2109,2020-04-01 14:54:25
2020-02-21,397,1361,109,2393,2020-04-01 14:54:25
2020-02-22,453,882,97,2229,2020-04-01 14:54:25
2020-02-23,409,620,150,1846,2020-04-01 14:54:25
2020-02-24,508,530,71,2589,2020-04-01 14:54:25
2020-02-25,406,439,52,2422,2020-04-01 14:54:25
2020-02-26,433,508,29,2750,2020-04-01 14:54:25
2020-02-27,327,452,44,3622,2020-04-01 14:54:25
2020-02-28,427,248,47,2885,2020-04-01 14:54:25
2020-02-29,573,132,35,2623,2020-04-01 14:54:25
2020-03-01,202,141,42,2837,2020-04-01 14:54:25
2020-03-02,125,129,31,2742,2020-04-01 14:54:25
2020-03-03,119,143,38,2652,2020-04-01 14:54:25
2020-03-04,139,143,31,2189,2020-04-01 14:54:25
2020-03-05,143,102,30,1681,2020-04-01 14:54:25
2020-03-06,99,99,28,1678,2020-04-01 14:54:25
2020-03-07,44,84,27,1661,2020-04-01 14:54:25
2020-03-08,40,60,22,1535,2020-04-01 14:54:25
2020-03-09,19,36,17,1297,2020-04-01 14:54:25
2020-03-10,24,31,22,1578,2020-04-01 14:54:25
2020-03-11,15,33,11,1318,2020-04-01 14:54:25
2020-03-12,20,33,7,1318,2020-04-01 14:54:25
2020-03-13,11,17,13,1430,2020-04-01 14:54:25
2020-03-14,20,39,10,1370,2020-04-01 14:54:25
2020-03-15,16,41,14,838,2020-04-01 14:54:25
2020-03-16,21,45,13,930,2020-04-01 14:54:25
2020-03-17,13,21,11,922,2020-04-01 14:54:25
2020-03-18,34,23,8,819,2020-04-01 14:54:25
2020-03-19,39,31,3,730,2020-04-01 14:54:25
2020-03-20,41,36,7,590,2020-04-01 14:54:25
2020-03-21,46,45,6,504,2020-04-01 14:54:25
2020-03-22,39,47,9,459,2020-04-01 14:54:25
2020-03-23,78,35,7,456,2020-04-01 14:54:25
2020-03-24,47,33,4,491,2020-04-01 14:54:25
2020-03-25,67,58,6,401,2020-04-01 14:54:25
2020-03-26,55,49,5,537,2020-04-01 14:54:25
2020-03-27,54,29,3,383,2020-04-01 14:54:25
2020-03-28,45,28,5,477,2020-04-01 14:54:25
2020-03-29,31,17,4,322,2020-04-01 14:54:25
2020-03-30,48,44,1,282,2020-04-01 14:54:25
2020-03-31,36,26,7,186,2020-04-01 14:54:25
