date,confirm,suspect,dead,heal,update_time
2020-01-20,291,54,6,25,2020-04-01 14:54:25
2020-01-21,440,37,9,25,2020-04-01 14:54:25
2020-01-22,571,393,17,28,2020-04-01 14:54:25
2020-01-23,830,1072,25,34,2020-04-01 14:54:25
2020-01-24,1287,1965,41,38,2020-04-01 14:54:25
2020-01-25,1975,2684,56,49,2020-04-01 14:54:25
2020-01-26,2744,5794,80,51,2020-04-01 14:54:25
2020-01-27,4515,6973,106,60,2020-04-01 14:54:25
2020-01-28,5974,9239,132,103,2020-04-01 14:54:25
2020-01-29,7711,12167,170,124,2020-04-01 14:54:25
2020-01-30,9692,15238,213,171,2020-04-01 14:54:25
2020-01-31,11791,17988,259,243,2020-04-01 14:54:25
2020-02-01,14380,19544,304,328,2020-04-01 14:54:25
2020-02-02,17205,21558,361,475,2020-04-01 14:54:25
2020-02-03,20438,23214,425,632,2020-04-01 14:54:25
2020-02-04,24324,23260,490,892,2020-04-01 14:54:25
2020-02-05,28018,24702,563,1153,2020-04-01 14:54:25
2020-02-06,31161,26359,636,1540,2020-04-01 14:54:25
2020-02-07,34546,27657,722,2050,2020-04-01 14:54:25
2020-02-08,37198,28942,811,2649,2020-04-01 14:54:25
2020-02-09,40171,23589,908,3281,2020-04-01 14:54:25
2020-02-10,42638,21675,1016,3996,2020-04-01 14:54:25
2020-02-11,44653,16067,1113,4740,2020-04-01 14:54:25
2020-02-12,58761,13435,1259,5642,2020-04-01 14:54:25
2020-02-13,63851,10109,1380,6723,2020-04-01 14:54:25
2020-02-14,66492,8969,1523,8096,2020-04-01 14:54:25
2020-02-15,68500,8228,1665,9419,2020-04-01 14:54:25
2020-02-16,70548,7264,1770,10844,2020-04-01 14:54:25
2020-02-17,72436,6242,1868,12552,2020-04-01 14:54:25
2020-02-18,74185,5248,2004,14376,2020-04-01 14:54:25
2020-02-19,75002,4922,2118,16157,2020-04-01 14:54:25
2020-02-20,75891,5206,2236,18266,2020-04-01 14:54:25
2020-02-21,76288,5365,2345,20659,2020-04-01 14:54:25
2020-02-22,76741,4148,2442,22888,2020-04-01 14:54:25
2020-02-23,77150,3434,2592,24734,2020-04-01 14:54:25
2020-02-24,77658,2824,2663,27323,2020-04-01 14:54:25
2020-02-25,78064,2491,2715,29745,2020-04-01 14:54:25
2020-02-26,78497,2358,2744,32495,2020-04-01 14:54:25
2020-02-27,78824,2308,2788,36117,2020-04-01 14:54:25
2020-02-28,79251,1418,2835,39002,2020-04-01 14:54:25
2020-02-29,79824,851,2870,41625,2020-04-01 14:54:25
2020-03-01,80026,715,2912,44462,2020-04-01 14:54:25
2020-03-02,80151,587,2943,47204,2020-04-01 14:54:25
2020-03-03,80270,520,2981,49856,2020-04-01 14:54:25
2020-03-04,80409,522,3012,52045,2020-04-01 14:54:25
2020-03-05,80552,482,3042,53726,2020-04-01 14:54:25
2020-03-06,80651,502,3070,55404,2020-04-01 14:54:25
2020-03-07,80695,458,3097,57065,2020-04-01 14:54:25
2020-03-08,80735,421,3119,58600,2020-04-01 14:54:25
2020-03-09,80754,349,3136,59897,2020-04-01 14:54:25
2020-03-10,80778,285,3158,61475,2020-04-01 14:54:25
2020-03-11,80793,253,3169,62793,2020-04-01 14:54:25
2020-03-12,80813,147,3176,64111,2020-04-01 14:54:25
2020-03-13,80824,115,3189,65541,2020-04-01 14:54:25
2020-03-14,80844,113,3199,66911,2020-04-01 14:54:25
2020-03-15,80860,134,3213,67749,2020-04-01 14:54:25
2020-03-16,80881,128,3226,68679,2020-04-01 14:54:25
2020-03-17,80894,119,3237,69601,2020-04-01 14:54:25
2020-03-18,80928,105,3245,70420,2020-04-01 14:54:25
2020-03-19,80967,104,3248,71150,2020-04-01 14:54:25
2020-03-20,81008,106,3255,71740,2020-04-01 14:54:25
2020-03-21,81054,118,3261,72244,2020-04-01 14:54:25
2020-03-22,81093,136,3270,72703,2020-04-01 14:54:25
2020-03-23,81171,132,3277,73159,2020-04-01 14:54:25
2020-03-24,81218,134,3281,73650,2020-04-01 14:54:25
2020-03-25,81285,159,3287,74051,2020-04-01 14:54:25
2020-03-26,81340,189,3292,74588,2020-04-01 14:54:25
2020-03-27,81394,184,3295,74971,2020-04-01 14:54:25
2020-03-28,81439,174,3300,75448,2020-04-01 14:54:25
2020-03-29,81470,168,3304,75770,2020-04-01 14:54:25
2020-03-30,81518,183,3305,76052,2020-04-01 14:54:25
2020-03-31,81554,172,3312,76238,2020-04-01 14:54:25
